lon,lat,tags,timestamp,version,changeset,id,geometry
11.3989862,48.8053597,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Echenzeller Weg', 'public_transport': 'stop_position', 'ref': '1'}",1609605767,6,96815584,2111881589,POINT (11.3989862 48.8053597)
11.3982345,48.8057722,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Echenzeller Weg', 'public_transport': 'stop_position', 'ref': '2'}",1609605767,7,96815584,1394719883,POINT (11.3982345 48.8057722)
11.4447571,48.7782931,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Feldschlößl', 'public_transport': 'stop_position'}",1608980966,6,96447323,2119037604,POINT (11.4447571 48.7782931)
11.4402825,48.7791175,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Theodor-Heuss-Straße', 'public_transport': 'stop_position'}",1608980966,5,96447323,2119037638,POINT (11.4402825 48.7791175)
11.4044943,48.8037131,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'St.-Michael-Straße', 'public_transport': 'stop_position'}",1608734998,4,96333441,2111881598,POINT (11.4044943 48.8037131)
11.4359963,48.7449501,"{'bus': 'yes', 'highway': 'bus_stop', 'local_ref': '2', 'name': 'Ingolstadt, Hauptbahnhof', 'network': 'Verkehrsverbund Großraum Ingolstadt', 'network:guid': 'DE-BY-VGI', 'network:short': 'VGI', 'network:wikidata': 'Q99937594', 'operator': 'Ingolstädter Verkehrsgesellschaft mbH', 'public_transport': 'stop_position'}",1668242548,17,128804161,975729496,POINT (11.4359963 48.7449501)
11.4546094,48.7990139,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Lenting, Blockhaus', 'public_transport': 'stop_position'}",1648587464,13,119088436,25579841,POINT (11.4546094 48.7990139)
11.3954285,48.7642419,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Degenhartstraße', 'public_transport': 'stop_position'}",1610289139,11,97250068,1241198042,POINT (11.3954285 48.7642419)
11.3957405,48.7643033,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Degenhartstraße', 'public_transport': 'stop_position'}",1610289139,3,97250068,3079046105,POINT (11.3957405 48.7643033)
11.402139,48.7654789,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Zoo Wasserstern', 'public_transport': 'stop_position'}",1648127661,2,118864724,8266524021,POINT (11.402139 48.7654789)
11.4024924,48.7654762,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Zoo Wasserstern', 'public_transport': 'stop_position'}",1648127661,11,118864724,1241195645,POINT (11.4024924 48.7654762)
11.3650774,48.7594827,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Schaumühle', 'public_transport': 'stop_position'}",1609152582,2,96528965,3830455636,POINT (11.3650774 48.7594827)
11.3653935,48.7595748,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Schaumühle', 'public_transport': 'stop_position'}",1609152581,6,96528965,1839933200,POINT (11.3653935 48.7595748)
11.4522876,48.7459716,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Tassilostraße', 'public_transport': 'stop_position'}",1648078884,6,118841888,2108948536,POINT (11.4522876 48.7459716)
11.4472644,48.7482486,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Schröplerstraße', 'public_transport': 'stop_position'}",1608905572,5,96423928,2108948544,POINT (11.4472644 48.7482486)
11.4482056,48.7417432,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Erletstraße', 'public_transport': 'stop_position'}",1608980966,6,96447323,2108948516,POINT (11.4482056 48.7417432)
11.4697748,48.7415127,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Boschstraße', 'public_transport': 'stop_position'}",1609153015,13,96529442,766009259,POINT (11.4697748 48.7415127)
